LECROYWS3054,15236,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,18-Dec-2017 17:50:27,0                 
Time,Ampl
-0.0010200515,0
-0.0010199515,-0.166667
-0.0010198515,0
-0.0010197515,0
-0.0010196515,-0.166667
-0.0010195515,0
-0.0010194515,0
-0.0010193515,0
-0.0010192515,0
-0.0010191515,-0.166667
-0.0010190515,0
-0.0010189515,0
-0.0010188515,0
-0.0010187515,0
-0.0010186515,0
-0.0010185515,0
-0.0010184515,0
-0.0010183515,0
-0.0010182515,0
-0.0010181515,0
-0.0010180515,0
-0.0010179515,0
-0.0010178515,0
-0.0010177515,0
-0.0010176515,0
-0.0010175515,0
-0.0010174515,0
-0.0010173515,0
-0.0010172515,0
-0.0010171515,0
-0.0010170515,0
-0.0010169515,-0.166667
-0.0010168515,0
-0.0010167515,0
-0.0010166515,0
-0.0010165515,0
-0.0010164515,0
-0.0010163515,0
-0.0010162515,0
-0.0010161515,0
-0.0010160515,0
-0.0010159515,0
-0.0010158515,-0.166667
-0.0010157515,0
-0.0010156515,0
-0.0010155515,-0.166667
-0.0010154515,0
-0.0010153515,0
-0.0010152515,0
-0.0010151515,0
-0.0010150515,0
-0.0010149515,0
-0.0010148515,0
-0.0010147515,0
-0.0010146515,0
-0.0010145515,0
-0.0010144515,0
-0.0010143515,0
-0.0010142515,0
-0.0010141515,0
-0.0010140515,-0.166667
-0.0010139515,0
-0.0010138515,0
-0.0010137515,0
-0.0010136515,-0.166667
-0.0010135515,0
-0.0010134515,0
-0.0010133515,0
-0.0010132515,0
-0.0010131515,0
-0.0010130515,-0.166667
-0.0010129515,0
-0.0010128515,0
-0.0010127515,-0.166667
-0.0010126515,0
-0.0010125515,0
-0.0010124515,-0.166667
-0.0010123515,0
-0.0010122515,0
-0.0010121515,0
-0.0010120515,0
-0.0010119515,0
-0.0010118515,0
-0.0010117515,0
-0.0010116515,0
-0.0010115515,0
-0.0010114515,0
-0.0010113515,0
-0.0010112515,0
-0.0010111515,0
-0.0010110515,0
-0.0010109515,0
-0.0010108515,0
-0.0010107515,0
-0.0010106515,0
-0.0010105515,0
-0.0010104515,0
-0.0010103515,0
-0.0010102515,-0.166667
-0.0010101515,0
-0.0010100515,0
-0.0010099515,0
-0.0010098515,0
-0.0010097515,0
-0.0010096515,0
-0.0010095515,0
-0.0010094515,0
-0.0010093515,0
-0.0010092515,0
-0.0010091515,0
-0.0010090515,0
-0.0010089515,0
-0.0010088515,0
-0.0010087515,0
-0.0010086515,0
-0.0010085515,0
-0.0010084515,0
-0.0010083515,0
-0.0010082515,0
-0.0010081515,0
-0.0010080515,0
-0.0010079515,0
-0.0010078515,0
-0.0010077515,0
-0.0010076515,0
-0.0010075515,0
-0.0010074515,0
-0.0010073515,0
-0.0010072515,0
-0.0010071515,0
-0.0010070515,0
-0.0010069515,0
-0.0010068515,0
